Country,Code,Year,Annual CO₂ emissions (per capita)
Saint Helena,SHN,2022,3.2986484
Saint Kitts and Nevis,KNA,2022,4.708081
Saint Lucia,LCA,2022,2.6149206
Saint Pierre and Miquelon,SPM,2022,10.293288
Saint Vincent and the Grenadines,VCT,2022,2.2964725
Samoa,WSM,2022,1.1218625
Sao Tome and Principe,STP,2022,0.5816142
Saudi Arabia,SAU,2022,18.197495
Senegal,SEN,2022,0.6738352
Serbia,SRB,2022,6.024712
Seychelles,SYC,2022,6.1495123
Sierra Leone,SLE,2022,0.13124847
Singapore,SGP,2022,8.911513
Sint Maarten (Dutch part),SXM,2022,14.352394
Slovakia,SVK,2022,6.051555
Slovenia,SVN,2022,5.9979916
Solomon Islands,SLB,2022,0.41232163
Somalia,SOM,2022,0.03676208
South Africa,ZAF,2022,6.7461643
South America,,2022,2.4865332
South Korea,KOR,2022,11.598764
South Sudan,SSD,2022,0.1680176
Spain,ESP,2022,5.1644425
Sri Lanka,LKA,2022,0.7936504
Sudan,SDN,2022,0.4696261
Suriname,SUR,2022,5.8029985
Sweden,SWE,2022,3.6069093
Switzerland,CHE,2022,4.0478554
Syria,SYR,2022,1.2490375
Taiwan,TWN,2022,11.630868
Tajikistan,TJK,2022,1.0064901
Tanzania,TZA,2022,0.23771806
Thailand,THA,2022,3.7762568
Togo,TGO,2022,0.2910665
Tonga,TON,2022,1.7686282
Trinidad and Tobago,TTO,2022,22.423758
Tunisia,TUN,2022,2.879285
Turkey,TUR,2022,5.1052055
Turkmenistan,TKM,2022,11.03418
Turks and Caicos Islands,TCA,2022,7.636793
Tuvalu,TUV,2022,1.0004411
Uganda,UGA,2022,0.12744623
Ukraine,UKR,2022,3.5578535
United Arab Emirates,ARE,2022,25.833244
United Kingdom,GBR,2022,4.7201805
United States,USA,2022,14.949616
Upper-middle-income countries,,2022,6.617815
Uruguay,URY,2022,2.3060381
Uzbekistan,UZB,2022,3.4830604
Vanuatu,VUT,2022,0.6363055
Venezuela,VEN,2022,2.7168686
Vietnam,VNM,2022,3.4995174
Wallis and Futuna,WLF,2022,2.2819076
World,OWID_WRL,2022,4.658219
Yemen,YEM,2022,0.33701748
Zambia,ZMB,2022,0.44570068
Zimbabwe,ZWE,2022,0.542628
